,account.username,shopid,mtime,country,rating_normal,rating_bad,rating_good,description,rating_star,item_count,follower_count,response_rate,shop_location
0,anhtholeather,5851689,1632547764,VN,299,103,14373,"ATLeather.vn - Xưởng đồ da uy tín với kinh nghiệm hơn 9 năm.
AT Leather cam kết:
-	Tất cả sản phẩm đều được làm bằng chất liệu da bò 100%.
-	Sản phẩm giống như hình (Shop tự chụp)
-	Sản phẩm được bảo hành 1 năm. 
Liên hệ:
AT Leather - Shop Anh Thơ
Địa chỉ: 350 Tân Sơn Nhì,P. Tân Sơn Nhì, Quận Tân Phú, TP.HCM
Hotline: 0938 972 986 - 0902 54 94 39
Facebook: https://www.facebook.com/atleather.vn",4.874736,302,84405,96,TP. Hồ Chí Minh
0,badhabitsstore.vn,332639199,1632547932,VN,36,12,3418,"Hệ thống cửa hàng:
SÀI GÒN
🔥350 Điện Biên Phủ, P17, Quận Bình Thạnh
🔥117 Trần Đình Xu, P.Nguyễn Cư Trinh, Quận 1
🔥93 Rạch Bùng Binh, P9, Quận 3
🔥Central Market Lê Lai, Quận 1
🔥136 Nguyễn Hồng Đào, Quận Tân Bình
HÀ NỘI
🔥Vincom Bà Triệu, Lê Đại Hành
TÂY NINH
🔥444 Đường 30/4 (đối diện Vincom)",4.936559,48,58438,87,TP. Hồ Chí Minh
0,badrabbit.club,371440422,1632548013,VN,67,20,3558,"Hệ thống cửa hàng:
- 117 Trần Đình Xu, Phường Nguyễn Cư Trinh, Quận 1
- 93 Rạch Bùng Binh, Phường 9, Quận 3
- 26 Lý Tự Trọng, Phường Bến Thành, Quận 1 (The NewPlayground)
- 57 Nguyễn Gia Trí, Phường 25, Quận Bình Thạnh
- 136 Nguyễn Hồng Đào, Phường 9, Quận Tân Bình
- 444 Đường 30/4, TP. Tây Ninh (The Trendy Town)
Website: badhabitsstore.vn
FB BAD RABBIT CLUB
IG: @badrabbit.club
Khung giờ làm việc: 10 A.M - 10 P.M",4.906276,54,54988,87,TP. Hồ Chí Minh
0,basispremiumvn,147229880,1632548449,VN,575,260,39671,,4.913028,64,193130,96,TP. Hồ Chí Minh
0,chovietbtw,46779913,1632539350,VN,1030,534,22465,,4.751762,402,21444,93,Hà Nội
0,benandtod,193946275,1632020606,VN,11,4,626,"Ben & Tod là một Local Brand

Bắt đầu từ đam mê của những người mong muốn xây dựng một thương hiệu thời trang dành cho người Việt do chính người Việt tạo nên.

Ben & Tod với định hướng mang lại trãi nghiệm thời trang nhiều giá trị và tự tin hơn đến chàng trai Việt.

Mỗi sự khám phá giữa Bạn và bọn Tớ là một điều thú vỵ, bọn Tớ sẽ làm mỗi ngày tốt hơn, hãy dõi theo Ben & Tod nhé!
__

▪www.benandtod.com

▪facebook.com/ben.and.tod

▪instagram.com/ben.and.tod

▪Hotline: 0922 232 313",4.905901,356,15748,92,TP. Hồ Chí Minh
0,polo.fashion,181238954,1632491804,VN,2,0,95,"Beverly Hills Polo Cub là thương hiệu thời trang cao cấp được phân phối bởi công ty thời trang Kowil thuộc tập đoàn Phú Thái - tập đoàn phân phối thời trang lớn tại Việt Nam. Các sản phẩm của thương hiệu có kiểu dáng hiện đại được may từ chất liệu vải cao cấp, mang phong cách tươi trẻ nhưng không kém phần năng động, cá tính.

Thương hiệu Beverly Hills Polo Club được thành lập vào năm 1982. Lấy cảm hứng từ sự thanh lịch và quyến rũ của vùng Beverly Hills - California, Hoa Kỳ.",4.873684,151,2322,61,TP. Hồ Chí Minh
0,thoitrangbiluxury,68988783,1632548930,VN,410,243,15219,"BILUXURY - ALL FOR MEN

Là thương hiệu tiên phong trong lĩnh vực 'Thời trang nam thiết kế' - sản phẩm của BILUXURY mang tới cho phái mạnh Việt hình ảnh trẻ trung, hiện đại mà không kém phần lịch lãm, sang trọng. Chúng tôi chú trọng nghiên cứu phát triển mẫu mã, phom dáng phù hợp với vóc dáng và hình thể đàn ông Việt, cam kết mang lại giá trị đích thực và một cuộc sống thịnh vượng hơn.
100% sản phẩm chính hãng.
100+ showrooms và đại lý trên toàn quốc.
2.000.000+ khách hàng thân thiết mỗi năm.",4.838313,666,105900,80,Hà Nội
0,birdybag,26664149,1632540106,VN,87,23,8349,,4.937828,104,50347,67,TP. Hồ Chí Minh
0,blentino,242019729,1632541899,VN,142,61,6598,"Chính Sách Blentino: 
- Ảnh thật do shop tự chụp
- Hỗ trợ đổi hàng nếu mặc không vừa size. 
- Bảo hành: 3 tháng lỗi nhà sản xuất 1 đổi 1 (phí ship shop chịu 2 đầu).
- Hoàn tiền trong 7 ngày nếu sản phẩm không giống với mô tả.
- Cam kết sản phẩm chính hãng, nếu phát hiện gian lận đền 100 lần giá trị đơn hàng.
Mọi thắc mắc của bạn là vấn đề của chúng tôi SĐT 02466 855 544",4.874488,274,72085,99,Hà Nội
0,bonado.vn,30887157,1632543136,VN,342,130,6419,"Shop chuyên cung cấp thời trang nam
+ Liên hệ hotline: 0971.872.842
+ Website: www.bonado.vn
+ Địa chỉ: 79/30/9A Âu Cơ, F14, Quận 11
+ Liên hệ shop trước khi đặt hàng để nhận nhiều ưu đãi hơn.
+ Bán hàng từ thứ 2 đến thứ 6, từ 08h đến 17h – Thứ 7 từ 08h đến 13h – Chủ nhật, ngày lễ nghỉ.
=> Thanks all !!
",4.737298,220,16923,77,TP. Hồ Chí Minh
0,boteevn,202807048,1632232831,VN,142,41,10341,Botee thời trang basic đơn giản,4.91327,35,12024,53,TP. Hồ Chí Minh
0,shopdacaocap,221435717,1632548487,VN,54,14,5881,"Hơn 6 năm xây dựng thương hiệu, 14 tháng liên tiếp duy trì danh hiệu Shop YÊU THÍCH. Ban rất may mắn tìm được đúng shop da thật-đúng giá-chất lượng !
BỤI LEATHER ✧Đồ da thật – giá trị thật✧
Clutch nam | Ví cầm tay | Ví da | Dây lưng | Dây da đồng hồ | Ví mini
===
⛔ CAM KẾT:
✔️  Chỉ bán sp da thật. Phát hiện không phải da thật xin đền tiền gấp 10 lần.
✔️ Tất cả sản phẩm đều được bảo hành 24 tháng về da.",4.942939,77,7746,94,Hà Nội
0,bycottonstore,419267702,1630568798,VN,2,1,120,BYCOTTON là một thương hiệu thời trang nam của Việt Nam ra đời với sứ mệnh đem lại cho phái mạnh nhiều sự lựa chọn chất lượng từ thiết kế cho đến chất liệu,4.884298,130,1501,64,TP. Hồ Chí Minh
0,canifa_official,70681764,1632548357,VN,1235,555,60257,"Canifa 20 năm - Khoác lên niềm vui gia đình Việt
Năm 2001, thương hiệu thời trang CANIFA ra đời trở thành niềm tự hào của thời trang Việt.
CANIFA cam kết đặt KHÁCH HÀNG LÀM TRUNG TÂM trong mọi suy nghĩ và hành động của mình - Mang lại cho khách hàng NIỀM VUI mua sắm và trải nghiệm tốt nhất.

Ấn “THEO DÕI” (FOLLOW) trang chính thức của CANIFA trên Shopee để cập nhật những xu hướng thời trang casual hiện đại và mang về những ƯU ĐÃI  hấp dẫn nhé.
CANIFA xin chân thành cảm ơn quý khách hàng!",4.884039,2542,101981,99,Hà Nội
0,ceffylo,409394223,1632546710,VN,2,1,411,"Với 5 năm kinh nghiệm chuyên kinh doanh các sản phẩm thời trang cao cấp nam, tại Ceffylo bạn sẽ tìm được những sản phẩm thời trang nam cao cấp với chất lượng sản phẩm ĐỈNH CAO.
Mọi thông tin xin liên hệ qua INBOX hoặc HOTLINE: 0878.549.544",4.942928,194,4999,91,Hà Nội
0,ceray_official,207531870,1632543882,VN,265,56,8800,"CERA-Y FASHION
Fanpage: Cera-y Fashion
Shop Bán Online Tại Sài Gòn
Phone: 093 6660031 (10 a.m - 16 p.m)
Link: https://bit.ly/2Sfj3sg",4.86743,92,6897,46,TP. Hồ Chí Minh
0,chennybag,79343664,1632534849,VN,191,59,9310,"Với phương châm “Sự hài lòng của quý khách là thành công của chúng tôi”,luôn luôn lắng nghe và sẵn sàng tiếp thu mọi ý kiến góp ý của quý khách hàng; không ngừng cải tiến, nghiên cứu và ứng dụng các công nghệ mới vào sản xuất để ngày càng hoàn thiện hơn các dòng sản phẩm chính, nâng cao tính năng và giảm giá thành sản xuất, mang lại cho khách hàng nhiều sự lựa chọn với giá cả hợp lý nhất.
 Tư vấn miễn phí 24/24 cho quý khách hàng về các sản phẩm của chúng tôi.",4.881061,59,28074,68,TP. Hồ Chí Minh
0,ciza_official,170097480,1632541480,VN,7,0,781,"CIZA với những thiết kế tinh tế, ấn tượng dành riêng cho phái mạnh. Phong cách thời trang casual  phù hợp nhiều hoàn cảnh .
Các thiết kế chú trọng vào sự tiện lợi và thoải mái của trang phục với chất liệu thiên nhiên cực kỳ mát mẻ và khả năng thấm hút mồ hôi tốt như: tricot, cotton, bamboo, linen,… tạo sự thoải mái và tự tin tối đa cho phái mạnh.
Chất vải cotton Supima mềm mát như lụa,nhẹ và có độ bền cực cao, chống co rút gấp 5 
lần các loại cotton thường và đặc biệt rất thân thiện với làn da .",4.943925,105,18834,89,Hải Phòng
0,coolmate.vn,24710134,1632548857,VN,1027,320,72376,"Được hình thành trong thời đại 4.0, Coolmate áp dụng sức mạnh của công nghệ vào thời trang để đưa ra Giải pháp mua sắm đồ cơ bản cho nam giới với mô hình tiện lợi hơn, tiết kiệm hơn - khách hàng có thể mua cả tủ đồ đảm bảo chất lượng, made in Vietnam ,giá tốt, giao hàng nhanh chóng, và dịch vụ chăm sóc vượt trội.
 
 * MIỄN PHÍ GIAO HÀNG TOÀN QUỐC
 * ĐỔI TRẢ MIỄN PHÍ BẤT KÌ LÍ DO GÌ TRONG 60 NGÀY (ĐỔI TRẢ TẬN NƠI)
 * Hotline dịch vụ CSKH: 1900272737 (8H30 - 22H)
 * Email CSKH: Cool@coolmate.me
",4.918879,135,172555,99,Hà Nội
0,cottongoods.vn,395995194,1627953487,VN,0,0,0,"Chào bạn!
Giờ làm việc của shop: 08:00 - 22:00 mỗi ngày
Xin hãy đánh giá 5 sao để ủng hộ shop nha
Nếu bạn có thắc mắc hãy liên hệ với shop để được tư vấn nhé
Theo dõi shop để cập nhật sản phẩm và chương trình giảm giá mới nhất
Chúc bạn mua sắm vui vẻ",,513,29,25,Quốc Tế
0,cr7_officialstore,171722651,1620643424,VN,3,0,50,"Với sự đầu tư về chất lượng sản phẩm cùng nhiều năm kinh nghiệm trong sản xuất và thiết kế, dòng sản phẩm đồ lót CR7 mang đến cho khách hàng sự hoàn hảo và cá tính riêng biệt.",4.884615,22,337,100,TP. Hồ Chí Minh
0,cuong.store,166358215,1632485314,VN,2,0,214,"CUONG STORE – Thương hiệu thời trang ứng dụng dành cho nam giới. Với mong muốn mang đến những sản phẩm chất lượng, hợp thời trang với giá cả cạnh tranh. 

CUONG STORE gửi đến bạn sự chăm chút trong từng sản phẩm

CAM KẾT
📍 Hoàn tiền nếu sản phẩm không giống với mô tả
📍 Sản phẩm được xử lý theo tiêu chuẩn chất lượng không bị co rút hay ra màu.
📍 Đội ngũ Tư Vấn - CSKH hỗ trợ khách hàng tận tình, thân thiện.
📍 Chính sách đổi size trong vòng 10 ngày.
",4.926108,102,2576,88,TP. Hồ Chí Minh
0,davies.vn,96065719,1632548372,VN,315,79,41242,"DÁM BẮT ĐẦU!
DAVIES là thương hiệu thời trang lấy cảm hứng từ sự mãnh liệt của  văn hoá đường phố.
Davies đề cao giá trị trong việc cải tiến độ bền của chất liệu, đột phá trong thiết kế và phát triển trong sản xuất. 
@Davies.brand với sắc thái thời trang đa dạng trong thiết kế cho các bạn nữ.
@Davies.original khám phá và áp dụng mọi thứ dựa trên nguyên bản. 
@Davies.lab phòng thí nghiệm trưng bày những mẫu thử LIMITED đắt giá 
Tổng đài CSKH : 0899966116",4.953901,386,188067,99,Đà Nẵng
0,determinant_vn,322599759,1630984263,VN,0,0,58,"
KHÁM PHÁ THÊM
DETERMINANT là nhãn hàng thời trang cao cấp dành cho nam nổi tiếng tại Hồng Kông và hiện đang có mặt tại các nước Châu Á như Trung Quốc, Malaysia, Singapore, Đài Loan, Việt Nam,...

NIỀM TỰ HÀO
Với những sản phẩm được làm từ sợi bông cao cấp mềm mịn cùng dây chuyền sản xuất tích hợp hơn 42 năm kinh nghiệm, DETERMINANT tự hào mang đến những sản phẩm có chất lượng vượt trội, tính năng nổi bật và phong cách hiện đại.",5,51,1384,82,TP. Hồ Chí Minh
0,dilano.store,414900542,1632529686,VN,3,2,1281,"DILANO CAM KẾT:
- Sản phẩm giống mô tả. Hình ảnh sản phẩm chân thật do shop tự chụp.
- Cam kết 100% đổi size nếu sản phẩm khách đặt không vừa (hỗ trợ đổi size trong vòng 7 ngày).
- Shop hỗ trợ đổi sang sản phẩm khác cùng giá hoặc cao hơn nếu khách có nhu cầu đổi mẫu khác.
Lưu ý: Khi bạn gặp bất kì vấn đề gì đừng vội đánh giá Sản Phẩm mà hãy liên hệ Shop để đc hỗ trợ 1 cách tốt nhất  nhé.
Hotline : 0869586992 ",4.975724,47,75084,98,TP. Hồ Chí Minh
0,disneygolf_theshirtsstudio,151571191,1631528971,VN,6,3,269,"🏠 Disney Golf và The Shirt Studio
🇰🇷 Made in Korea
✅ Màu sắc form dáng thời thượng.
* Tất cả sản phẩm đều là ảnh chụp trực tiếp*
🎁 Mọi thắc mắc về sản phẩm hay đơn hàng hãy chat trực tiếp để được shop tư vấn nhé! 
* Store Disney Golf HN: 
- Tầng 2, Sân Golf Phương Đông, Phố Tân Mỹ, Nam Từ Liêm
- Showroom Sky Lake Resort & Golf Club , Văn Sơn, Chương Mỹ , Hà Nội
- R5 Vincom Mega Mall - Royal City, 72A Nguyễn Trãi Phường Thượng Đình Quận Thanh Xuân Hà Nội
☎️ Hotline: 0888476336",4.861818,470,3326,71,Hà Nam
0,maisononline,20990445,1632223432,VN,32,20,1261,"Được đi vào hoạt động từ năm 2002, 
Công ty Cổ phần Maison đã nhanh chóng trở thành một trong những nhà phân phối thời trang lớn nhất, đi đầu trong việc giới thiệu các thương hiệu cao cấp và sang trọng tại Việt Nam. Sau thành công ngoài mong đợi của cửa hàng đầu tiên, hiện Maison đang là ngôi nhà chung của hơn 23 thương hiệu đình đám thế giới, như Charles & Keith, Pedro, Puma, Havaianas, …",4.849231,1292,112533,99,TP. Hồ Chí Minh
0,thoitrangthethaodunlop,35245395,1632442546,VN,26,7,1942,"Dunlop Sport - Thời trang thể thao hàng đầu thế giới với hơn 100 năm phát triển từ Anh Quốc
Hotline: 09 1600 1791
•	Vải được sản xuất độc quyền tại NHẬT BẢN. bởi tập đoàn dệt may hàng đầu - Itochu
•	Chất liệu: 100% Polyester cao cấp, không chứa thành phần Nilong.
•	Mềm, nhẹ, co giãn tốt. Kháng khuẩn, chống tia UV
•	Thoáng khí, thoát mồ hôi cực tốt, phù hợp đi chơi hoặc vận động nhiều.
•	Không bai nhão, bạc màu theo thời gian. Form dáng luôn như mới.
•	Được kiểm tra hàng, ưng ý mẫu mã, chất lượng",4.923644,542,34858,49,Hà Nội
0,dvrk_vn,336666336,1630062302,VN,3,1,203,"Được thành lập vào năm 2015, DVRK là thương hiệu thời trang có thiết kế và cảm hứng chủ đạo từ phong cách streetstyle trên thế giới. Các sản phẩm của DVRK (như áo thun, áo khoác, quần, phụ kiện,v.v. ) được dựa trên một đề tài xã hội, nhân văn hoặc từ những câu chuyện về sự ra đời của loài người dựa trên kinh Thánh, hoặc đơn giản hơn là những chủ đề về các mùa lễ hội, biến thể của logo,... ",4.903382,23,4616,40,TP. Hồ Chí Minh
0,thoitrangeverest,17893078,1632547837,VN,1707,848,53085,"Thời trang Everest. NƠI CỦA SỰ TIN CẬY.Chất lượng và uy tín của Thời trang Everest đã được chứng minh qua các sàn giao dịch Thương mại điện tử nổi tiếng hiện nay. Shop có đủ các mặt hàng về giày dép, nón, áo, balo, túi xách...chât lượng và uy tín đặt hàng đầu. Tất cả các sản phẩm của shop đều là hình thật của sản phẩm do shop tự chụp đảm bảo hàng 100% như hình",4.81399,1230,69389,84,TP. Hồ Chí Minh
0,hangcongty,30414883,1632547758,VN,1195,631,24936,"CÔNG TY TNHH MAY NAM PHÁT(THƯƠNG HIỆU: F8888)
XƯỞNG MAY CHUYÊN SẢN XUẤT- ĐỔ BUÔN SỐ LƯỢNG LỚN CÁC SẢN PHẨM SƠ MI- QUẦN ÂU TOÀN QUỐC- 0918178910
- THÀNH LẬP THÁNG 3 NĂM 2012 ĐẾN NAY ĐÃ CÓ KINH NGHIỆM HƠN 7 NĂM TRONG LĨNH VỰC SẢN XUẤT KINH DOANH CÁC SẢN PHẨM THỜI TRANG VỚI ĐỘI NGŨ NHÀ XƯỞNG VÀ SỐ LƯỢNG CÔNG NHÂN MAY LÊN ĐẾN 80 NGƯỜI.
- CHÚNG TÔI CÓ CHÍNH SÁCH BẢO HÀNH VÀ ĐỔI TRẢ HOÀN TOÀN MIỄN PHÍ ĐỐI VỚI TOÀN BỘ CÁC ĐƠN HÀNG ONLINE BỊ LỖI SẢN PHẨM HOẶC SIZE ĐẢM BẢO VIỆC MUA SẮM AN TÂM QUÝ KHÁCH
",4.739712,245,22470,7,Hà Nội
0,fashionmartvn,136572463,1631709750,VN,170,45,7561,,4.880974,116,5638,100,TP. Hồ Chí Minh
0,fasvin,174605355,1632548364,VN,37,7,16227,"FASVIN - GIAN HÀNG CHÍNH HÃNG - CỬA HÀNG ONLINE - SHOPEE VIỆT NAM 

 Gần 30 năm kinh nghiệm, Fasvin quần áo thể thao Việt Nam tự hào được nhiều người tiêu dùng biết tới và tin dùng với hàng trăm ngàn sản phẩm được bán ra mỗi năm.
  Đến với Fasvin bạn sẽ được bảo hành chất lượng sản phẩm 12 tháng và đổi trả dễ dàng. 
 Liên hệ với chúng tôi qua địa chỉ:
• Cửa hàng Fasvin: 45 Hàng Ngang, Hàng Đào, Hoàn Kiếm, TP Hà Nội.
• SĐT: 0966987829 / 0966254829
• Website: fasvin.vn
• Fb: facebook.com/fasvin",4.968943,155,100049,99,Hà Nội
0,feaer_store,263713672,1632547650,VN,314,105,39916,"Feaer xuất hiện trên thị trường từ cuối năm 2019, Feaer mang một sức mạnh của một thương hiệu thời trang nam khác biệt, đầy cá tính, sang trọng và gọn gàng. Feaer yêu thời trang, xem trọng việc làm sao để thiết kế được sản phẩm mà người Việt cảm thấy phù hợp và chất lượng.

THỜI TRANG CỦA SỰ SANG TRỌNG
FEAER tạo ra người sành điệu
FEAER nhấn mạnh vào sự tinh tế
FEAER yêu xu hướng thời trang
FEAER thích thay đổi, khao khát đổi mới
⏰ Open : 09:00 - 21:30
☎ Hotline : 091 610 8844",4.949133,171,264401,97,TP. Hồ Chí Minh
0,flashbacks.official,81068364,1632529865,VN,165,137,2781,"Flasback.Official
 - Chuyên cung cấp hàng thời trang xuất khẩu:
- Đổi trả trong vòng 48h với mọi lý do
- Chuyên Sơ Mi Nam - Áo thun - Áo Polo
- Thời Trang Nam Công Sở - Trẻ Trung - Sáng Trọng - Lịch Lãm",4.620007,39,50762,63,Hà Nội
0,fortunemouseofficial,132596437,1632542376,VN,615,190,17967,"Chào mừng bạn đến với Fortune Mouse Shopee Mall !

Ra đời từ năm 2015 với niềm đam mê thời trang, Fortune Mouse là thương balo, túi xách dành cho giới trẻ. Với chất lượng, uy tín và đổi mới ko ngừng, Fortune Mouse luôn đem đến cho khách hàng những sản phẩm hợp thời trang, theo xu hướng hiện đại, tiện lợi với giá thành phù hợp.
Sự hài lòng của khách hàng là niềm vui của chúng tôi. Hãy shopping thoả thích nhé!",4.825848,122,102006,,TP. Hồ Chí Minh
0,freeman_jobelli,38701427,1631709714,VN,154,61,8152,"GIAN HÀNG CHÍNH HÃNG FREEMAN & JOBELLI
Freeman & Jobelli được phát triển dựa trên nền tảng của sự thoải mái và thiết kế phù hợp. Với nhiều kiểu dáng và thiết kế cho những phong cách khác nhau. Hãy chọn cho mình một sản phẩm Freeman phù hợp: Quần lót không đường nối, quần lót hở sườn, quần boxer hay quần bikini. Bất kỳ sản phẩm nào bạn ưa thích, Freeman & Jobelli cũng đều có thể đem đến cho bạn một sản phẩm với chất lượng tuyệt vời.
CN: 1072 Cách Mạng Tháng 8, P 4, Q Tân Bình, Tp.HCM",4.890362,287,6379,68,TP. Hồ Chí Minh
0,frey.vietnam,125777246,1631872405,VN,1,0,181,"Store Converse & Vans chính hãng
Cam kết chính hiệu 100%
Hỗ trợ đổi trả khi khách hàng mua không vừa chân
Theo dõi để nhận ưu đãi từ bọn mình nhé !",4.978022,71,7264,98,Hà Nội
0,fttleather,20289993,1632544887,VN,254,119,7915,"FTT LEATHER – CHUYÊN CUNG CẤP CÁC SẢN PHẨM DA THẬT CHÍNH HÃNG
=>CHÚNG TÔI CAM KẾT
👉 Cam kết chất lượng và mẫu mã sản phẩm giống với hình ảnh.
👉 Hoàn tiền nếu sản phẩm không giống với mô tả.
👉 Cam kết được đổi trả hàng trong vòng 7 ngày.
_____________________________________________
Chi tiết xin liên hệ : 0987799903",4.791203,200,97715,90,Hà Nội
0,genviet_official,199098049,1632544554,VN,246,153,9575,"Thương hiệu về Jeans hàng đầu dành cho người Việt
Các nhãn hàng:
+ Genviet Jeans – Thời trang dành cho người lớn
+ Genviet Kid – Thời trang dành cho trẻ em
+ GEN+ - Phụ kiện dành cho phái Nam",4.841082,733,33660,99,Hà Nội
0,genz_official,60292492,1632546028,VN,2232,818,108371,,4.886551,59,560445,80,TP. Hồ Chí Minh
